id,hypothesis_category,text,expected_label,rationale,predicted_label,predicted_probability,correct
1,negation,The latest update did not improve battery life at all.,negative,Tests whether the model picks up the negation cue or just the trigger word 'improve',negative,0.7552382946014404,True
2,lexical_trigger,This app is no longer reliable on my phone.,negative,Strong positive cue 'reliable' negated by 'no longer'; tests cue-vs-context handling,negative,0.9425984621047974,True
3,domain_shift,The team won the championship final last weekend.,neutral,Sports content unrelated to app-review training; tests domain-shift robustness,neutral,0.4186236560344696,True
4,negation,The update did not fix the crashing issue.,negative,Tests whether the model understands negation around failure language,negative,0.5516878366470337,True
5,negation,I never experienced smoother performance after installing this version.,negative,Checks negation with 'never' affecting positive phrase 'smoother performance',neutral,0.6500653624534607,False
6,negation,The app is not working as expected anymore.,negative,Tests ongoing failure expressed through 'not... anymore',negative,0.9292910695075989,True
7,negation,This version does not feel stable at all.,negative,Tests negation combined with stability-related sentiment,neutral,0.5097069144248962,False
8,negation,"The new interface is not worse, but it is not better either.",neutral,Tests double negation and balanced sentiment interpretation,neutral,0.8256410360336304,True
9,lexical_trigger,The app looks fantastic but keeps freezing during use.,negative,Positive cue 'fantastic' conflicts with severe functional issues,neutral,0.65750652551651,False
10,lexical_trigger,Excellent layout ruined by constant lag and delays.,negative,Strong positive word followed by performance failure,positive,0.8530358076095581,False
11,lexical_trigger,"Great design, but nothing actually works properly.",negative,Tests override of positive trigger by strong negative context,neutral,0.7332713603973389,False
12,lexical_trigger,The experience feels premium yet notifications never arrive.,negative,Positive branding word conflicts with failure,neutral,0.812941312789917,False
13,lexical_trigger,Amazing features that are completely unusable in practice.,negative,Tests mismatch between positive adjective and usability failure,positive,0.855673611164093,False
14,lexical_trigger,"Good app for browsing, terrible for everything else.",negative,Mixed cues test whether model balances sentiment correctly,neutral,0.6706174612045288,False
15,lexical_trigger,I love the interface but hate how slow it is.,negative,Conflicting sentiment words in same sentence,positive,0.817127525806427,False
16,lexical_trigger,Solid performance with occasional crashes.,neutral,Mixed sentiment with no dominant polarity,positive,0.8055527210235596,False
17,domain_shift,The president discussed education reforms in a televised speech.,neutral,Political domain unrelated to app reviews,positive,0.4179343581199646,False
18,domain_shift,The recipe requires baking at 180 degrees for forty minutes.,neutral,Cooking instructions unrelated to sentiment classification,neutral,0.5906677842140198,True
19,domain_shift,The basketball team improved their defense this season.,neutral,Sports domain sentence without product sentiment,positive,0.5651176571846008,False
20,domain_shift,The train schedule was updated due to maintenance work.,neutral,Transport-domain informational text,neutral,0.6312646269798279,True
21,domain_shift,The research paper was published in a leading scientific journal.,neutral,Academic domain sentence tests generalization,neutral,0.40076929330825806,True
22,domain_shift,The weather forecast predicts heavy rain tomorrow.,neutral,Weather domain unrelated to app sentiment,neutral,0.6522640585899353,True
23,domain_shift,The museum opened a new exhibition on modern art.,neutral,Cultural domain sentence is neutral in sentiment context,neutral,0.34296903014183044,True
24,domain_shift,The city announced new parking regulations downtown.,neutral,Public policy update unrelated to app reviews,negative,0.5622477531433105,False
25,length_extreme,Bad.,negative,Extremely short input tests minimal-context classification,negative,0.956458330154419,True
26,length_extreme,Perfect.,positive,Single-word positive input tests overconfidence on cues,positive,0.9010331630706787,True
27,length_extreme,Okay.,neutral,Ambiguous short input tests neutrality handling,neutral,0.8299630880355835,True
28,length_extreme,Still not fixed.,negative,Short complaint with implicit negation,neutral,0.6170284748077393,False
29,length_extreme,Everything works flawlessly now.,positive,Short strong positive statement,positive,0.8178361654281616,True
30,length_extreme,The app is fine.,neutral,Weak sentiment phrase tests neutrality detection,neutral,0.7724323868751526,True
31,length_extreme,"The update improved performance, reduced crashes, enhanced UI responsiveness, fixed login issues, and improved battery usage, but introduced some minor layout inconsistencies and occasional delays in notifications that appear under heavy load conditions.",positive,Long mixed-signal sentence tests aggregation of sentiment across many clauses,neutral,0.5053304433822632,False
32,length_extreme,"At first the app seemed slow and unstable with frequent crashes and login failures, but after the latest patch it became significantly faster, more reliable, and easier to use, although a few features still feel unfinished and inconsistent.",neutral,Mixed improvement and issues tests overall balance judgment,neutral,0.6539111137390137,True
33,sarcasm,"Oh great, another update that makes everything worse.",negative,Sarcastic positive phrase with negative meaning,positive,0.6965585947036743,False
34,sarcasm,I absolutely enjoy when the app deletes my progress.,negative,Sarcasm with positive verb 'enjoy',positive,0.8623173832893372,False
35,sarcasm,Fantastic job breaking the one thing that worked.,negative,Sarcastic praise masking criticism,positive,0.8598389625549316,False
36,sarcasm,Best experience ever if you like constant bugs.,negative,Sarcasm with conditional framing,positive,0.8142064809799194,False
37,sarcasm,"Sure, because I love waiting five minutes to open a simple screen.",negative,Sarcasm with exaggerated patience frustration,positive,0.8886525630950928,False
38,other,The app is usable but not particularly impressive.,neutral,Mild opinion without strong polarity,neutral,0.820728600025177,True
39,other,"I had a good experience overall, although some parts were confusing.",neutral,Mixed sentiment without dominance,neutral,0.49524253606796265,True
40,other,Some features are useful while others feel unnecessary.,neutral,Balanced evaluation with no clear polarity,neutral,0.7439957857131958,True
41,other,The latest update changed the UI and slightly improved speed.,neutral,Factual description with weak sentiment signal,neutral,0.6096439957618713,True
42,other,Customer support responded quickly but did not resolve the issue.,negative,Positive service speed vs unresolved problem conflict,neutral,0.70628422498703,False
43,other,The app behaves differently depending on device and operating system.,neutral,Device-dependent behavior with no sentiment,neutral,0.7309615015983582,True
